Time (s) Run #1;Sound Wave (%) Run #1
0;0.4337
0.0005;4.19435
0.001;0.78445
0.0015;-5.18745
0.002;-2.01545
0.0025;3.4227
0.003;2.85845
0.0035;-2.88165
0.004;-5.00445
0.0045;-0.3776
0.005;4.02965
0.0055;-0.4874
0.006;-5.05935
0.0065;-2.68645
0.007;2.9896
0.0075;3.43185
0.008;-2.10085
0.0085;-5.1417
0.009;-1.1096
0.0095;4.21265
0.01;0.37575
0.0105;-4.7025
0.011;-3.3239
0.0115;2.4345
0.012;3.8131
0.0125;-1.2926
0.013;-5.09595
0.0135;0.1714
0.014;4.16385
0.0145;-0.88695
0.015;-4.30295
0.0155;-3.9095
0.016;1.69945
0.0165;4.0205
0.017;-2.57665
0.0175;-5.0929
0.018;-0.77715
0.0185;3.86495
0.019;1.67505
0.0195;-3.9888
0.02;-4.54085
0.0205;0.8912
0.021;3.39525
0.0215;-1.93615
0.022;-5.2637
0.0225;-1.60065
0.023;3.52945
0.0235;2.2576
0.024;-4.7879
0.0245;-3.70515
0.025;1.9709
0.0255;3.74295
0.026;-1.10655
0.0265;-5.1661
0.027;-2.17405
0.0275;3.37085
0.028;3.08415
0.0285;-2.5736
0.029;-4.0193
0.0295;1.49205
0.03;4.112
0.0305;-0.1885
0.031;-4.92515
0.0315;-2.83285
0.032;2.83405
0.0325;3.502
0.033;-3.54655
0.0335;-4.45545
0.034;0.7509
0.0345;4.1974
0.035;0.54655
0.0355;-4.5988
0.036;-3.50385
0.0365;2.2027
0.037;2.69985
0.0375;-2.96095
0.038;-4.8123
0.0385;1.9404
0.039;4.10895
0.0395;1.41275
0.04;-4.0254
0.0405;-3.86375
0.041;1.72995
0.0415;3.3922
0.042;-2.1405
0.0425;-4.90685
0.043;1.3121
0.0435;4.04795
0.044;2.0441
0.0445;-3.60145
0.045;-4.4036
0.0455;2.5565
0.046;3.54165
0.0465;-1.70435
0.047;-5.2637
0.0475;-1.82025
0.048;3.89545
0.0485;0.55265
0.049;-3.35135
0.0495;-4.0132
0.05;1.5927
0.0505;3.54165
0.051;-1.1462
0.0515;-5.31555
0.052;-2.5675
0.0525;3.807
0.053;1.4097
0.0535;-4.1474
0.054;-4.2816
0.0545;1.17485
0.055;3.9595
0.0555;-0.06955
0.056;-4.8245
0.0565;-3.02195
0.057;2.587
0.0575;2.27285
0.058;-3.3666
0.0585;-4.57745
0.059;0.4825
0.0595;4.07235
0.06;0.6472
0.0605;-4.54085
0.061;-3.76005
0.0615;3.24275
0.062;1.0193
0.0625;-2.89385
0.063;-4.9343
0.0635;-0.2861
